author_id,tweet_created_at,geo,conversation_id,tweet_id,language,retweet_count,reply_count,"like_count,",quote_count,source,text
171934520,2022-01-21 23:58:00+00:00,,1484676686092374018,1484676686092374018,en,2,0,0,0,Sprout Social,"“Verify: Yes, Vaccinated People Can Give Blood without Issues” - via @KREM2 - https://t.co/Oq7dsaXlv9
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines  #COVID19vaccine #vaccination"
15227349,2022-01-21 23:52:03+00:00,,1484675188008833024,1484675188008833024,en,0,0,0,0,Twitter Web App,"Celebrities have remembered Meat Loaf as “larger than life” and “a sweet soul” as a report emerged that the rock legend had become seriously ill with #COVID19  before his death. 
#VaccinesWork #vaccination #pandemic 
https://t.co/Rg9QmoT3g8"
18033146,2022-01-21 23:30:06+00:00,,1484669663447556109,1484669663447556109,en,0,1,2,0,HeyOrca,"While natural immunity offers some protection, it is possible to get #COVID19 again. Getting vaccinated and boosted is your best protection. Learn more about #vaccination and COVID-19 at https://t.co/13Q60SpRMO. https://t.co/TeScPkFGw6"
252794509,2022-01-21 23:09:33+00:00,,1484664491451113472,1484664491451113472,en,6,0,1,1,Twitter for iPhone,"By the end of this surge, nearly all of us will have had an infection or a #vaccination. But good-quality immunity won’t distribute evenly, by @KatherineJWu https://t.co/l7gvvkJr0u via @TheAtlHealth @edyong209 #COVID19 #Omicron"
252794509,2022-01-21 23:02:48+00:00,,1484662794028863488,1484662794028863488,en,56,17,22,30,Twitter for iPhone,The singer Meat Loaf dead of #COVID19 at age 74. He was an outspoken opponent of vaccine mandates https://t.co/j2p7o8CSUI via @TMZ #vaccination
887693897652097025,2022-01-21 22:52:49+00:00,3acb748d0f1e9265,1484660283415175170,1484660283415175170,en,9,1,1,7,Twitter Web App,"#COVID19 #vaccination does NOT impair fertility.

Men infected by the #SARSCoV2 #coronavirus experience short-term reduced fertility, #infection linked with poor sperm quality &amp; reproductive dysfunction. 🍌

💉Still not interested to #GetVaccinated? 😉

https://t.co/7NnfiCMr0b"
338338753,2022-01-21 22:12:42+00:00,,1484650185816956933,1484650185816956933,en,0,0,0,0,Twitter for iPhone,#Austrian #parliament approves mandatory #vaccination order. #Austria #COVID19 #CovidVaccine #COVID https://t.co/EvCQs3NBed
1146590549421387776,2022-01-21 22:02:28+00:00,,1484647612598738944,1484647612598738944,en,0,0,0,0,Twitter Web App,Michigan’s most-vaccinated counties have lowest COVID-19 death rates – with a few exceptions https://t.co/GRduzE6ELk #Michigan #vaccination #covid19
35706669,2022-01-21 21:57:19+00:00,,1484646314143281154,1484646314143281154,en,15,0,4,0,Twitter for Android,Staff got boosted today. I'm not sure what that means exactly but she's happy so it must be good👍  🐕🐕 #covid19 #vaccination #preparingforomicron https://t.co/TvvgXhuq3P
1247454086481481728,2022-01-21 21:51:10+00:00,,1484644767917133826,1484644767917133826,en,0,0,0,0,Twitter for Android,"From Jan 21st #travellers to #Sweden exempt from entry #ban must be able to #present an accepted #certificate of #vaccination against #COVID19,a negative test requirements scrapped for a lot of travellers and vaccine passes reintroduced as valid for travel"
32340937,2022-01-21 21:28:00+00:00,,1484638938338050050,1484638938338050050,en,1,0,0,1,Twitter for iPad,"This #data points to the obvious need for #covid19 #vaccination but waning immunity &amp; emerging novel variants remain clear challenges?  Purpose built, federal #quarantine still needs to be in place for the next inevitable #pandemic? #publichealth https://t.co/dt9IoKA8V7"
1387815085322686464,2022-01-21 21:08:29+00:00,,1484634027147632643,1484634027147632643,en,0,0,0,0,Twitter for iPhone,"If everyone doesn’t go to restaurants, bars, cinemas, etc… for a month or so. Who has more to lose?

 #VaccinesWork #VaccineDeaths #vaccination #VaccinePassports #vaccinated #CoronavirusUpdates #COVID #COVID19 #CovidTesting #COVIDIOTS #CoronaPositive"
180748385,2022-01-21 20:20:00+00:00,,1484621823295823878,1484621823295823878,en,1,0,0,0,TweetDeck,"#Vaccination policies are stronger in high-income countries whereas low-income countries have weaker &amp; limited policies. The framework of #COVAX isn’t sufficient &amp; #IndoPacific can collaborate more closely to ensure vaccine equity, says Ekta Jain. #COVID19 https://t.co/dFNvFZoIHS"
43640852,2022-01-21 20:18:54+00:00,,1484621547054710788,1484621547054710788,en,7,0,0,0,Twitter Web App,#WorldWideFreedomRally tomorrow. Try to attend a demo if there's one near you: #COVID19 #COVID #lockdown #vaccination https://t.co/SOXMIa4sh2
1200260319702142976,2022-01-21 20:17:01+00:00,,1484621074448928770,1484621074448928770,en,0,0,0,0,Twitter for Android,"Teen Dies Minutes After Receiving Second Pfizer COVID-19 Vaccine Shot
https://t.co/Kk7G1WzJaw
#vaccination #COVID19
Download Now
https://t.co/ajxJ2gqAAD"
171934520,2022-01-21 20:12:00+00:00,,1484619812399730695,1484619812399730695,en,0,0,0,0,Sprout Social,"“COVID-19 Vaccine Mixing: Could Heterologous Boosters Improve Immunity?” - via @globaldataplc - https://t.co/Ptw8YNJzSs
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines  #COVID19vaccine #vaccination"
69360421,2022-01-21 20:05:02+00:00,,1484618058022928390,1484618058022928390,en,0,0,0,0,Hootsuite Inc.,"RT @picardonhealth: Unvaccinated people 50+ are about 45x more likely to end up in the hospital than those who got a booster. These are the first real-world data on boosters in the U.S., by @apoorva_nyc 
https://t.co/6FiDIYCbIt via @nytimes #COVID19 #vaccination #unvaxxed"
437798374,2022-01-21 20:02:24+00:00,,1484617394681229314,1484617394681229314,en,0,0,0,1,Hootsuite Inc.,"#Switzerland has announced that it will reduce the validity of vaccinations from 12 months to nine months in February. Read more: https://t.co/1Phr1e10UY

#covid19 #omicron #travel #vaccination #globalmobility #hr"
171934520,2022-01-21 19:45:02+00:00,,1484613024707137536,1484613024707137536,en,1,0,0,0,Sprout Social,"“Army Leads the Race for a ‘Universal COVID Vaccine’ That Could End Coronavirus Pandemics” - via @CNET - https://t.co/gtwqvlOGZ9
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines  #COVID19vaccine #vaccination"
218600278,2022-01-21 19:25:02+00:00,,1484607990334431233,1484607990334431233,en,0,0,0,2,Hootsuite Inc.,Higher #vaccination and #Boostershots rates will reduce business risk as #COVID19 infections from #Omicron reach record numbers. What can #HR do?  https://t.co/8UES0fiixk
1023271263626842112,2022-01-21 19:15:00+00:00,,1484605466189701120,1484605466189701120,en,0,0,0,0,Twitter Web App,"Over 57 thousand kids said to have taken wrong COVID-19 shot in Brazil 

#politics #brazil #BrazilianPolitics #coronavirus #covid19 #vaccination 
https://t.co/X9H8rr7zHG"
732952291,2022-01-21 19:13:03+00:00,,1484604976798355464,1484604976798355464,en,1,0,0,2,SocialPilot.co,News from #CCCongress22: Reminder alerts improve #vaccination adherence among #IBD patients #GITwitter #COVID19 @uthsc @AmerGastroAssn https://t.co/9OHOWnWuYi
108682085,2022-01-21 19:06:38+00:00,,1484603362024869894,1484603362024869894,en,1,0,0,0,Twitter Web App,E.R. physician: Vaccine mandates have always faced resistance…and saved lives https://t.co/z9NHxwjcb5 via @ncpolicywatch #ncga #ncpol #ncgov #ncleg #VaccinesWork #vaccination #COVID19 #VaccineSideEffects
1478766120035401730,2022-01-21 19:03:09+00:00,,1484602484240916494,1484602484240916494,en,0,0,0,1,Twitter for Android,"I'm feeling sick 🤒 Nooooo please, I still have to work all day, they won't let me leave, should I escape anyway? #COVID #COVID19 #sick #VaccineSideEffects #vaccine #vaccination #vaccinated #work #WorkLifeBalance #Health #healthcare #helpless"
2149170848,2022-01-21 19:02:02+00:00,,1484602205017681924,1484602205017681924,en,0,0,1,2,Buffer,"#CDC “These results demonstrate that #vaccination protects against #COVID19 and related hospitalization, and surviving a previous infection protects against a reinfection and related hospitalization” #Delta  https://t.co/Tx5WGQ0esc #vaccine #omicron #vaccinemandates #coronavirus https://t.co/ccslIHRNZE"
413250668,2022-01-21 18:37:53+00:00,,1484596127676653568,1484596127676653568,en,14,0,0,7,Twitter Web App,"#Saskatchewan tracks reactions to #COVID19 vaccines. Some key facts as of Saturday:
• 2.2 million doses
• 90 serious reactions
• no confirmed deaths
#skpoli #COVID19SK #Omicron #vaccination #vaccine 
https://t.co/8OPuDD1Ty4"
82126521,2022-01-21 18:33:34+00:00,,1484595039485382656,1484595039485382656,en,0,0,0,0,Twitter for Android,"As a retired trucker, this brings joy to my heart. #LiberalismIsAMentalDisorder #BidenDelivers #BidenHasDementia #BidenCrimeFamily #Bidenflation #FakeNewsMedia #FauciFlu #COVID19 #Vaccination #VaccineMandate 

https://t.co/C3EhsxyCkH"
1346067997451026433,2022-01-21 18:31:52+00:00,,1484594610840166401,1484594610840166401,en,0,0,2,3,Twitter,"🌏 Global COVID-19 vaccine rollout

🟩🟩🟩🟩🟩🟩🟩🟩🟩⬜⬜⬜⬜⬜⬜ 60.33% (estimate)

Vaccine doses deployed: 9.82B
The rollout seems to be speeding up

#COVID19 #EpiTwitter #Vaccination #PublicHealth https://t.co/7MokDjr0dW"
796322602230935552,2022-01-21 18:31:23+00:00,,1484594491034333184,1484594491034333184,en,5,1,0,0,Twitter Web App,"Who did this (promotion)? #WHO? #CDC? #Pharmaceutical lobby? The fearmongers? #Mandate masters &amp; followers? #Vaccine lovers? 

#Booster #COVID19 #Vaccination #HerdMentality #Immunity #Medicine #Healthcare https://t.co/rdFYR2sx0z"
2149170848,2022-01-21 18:28:03+00:00,,1484593652714377219,1484593652714377219,en,6,2,0,6,Twitter Web App,"REMARKABLE! ""We have made mistakes"" Head of Immunology at Bar Ilan University and a Member of the advisory committee for vaccines for the Israeli Government - Interview https://t.co/uCp0zKHIwt #covid19 #coronavirus #pandemic #vaccine #vaccinemandates #omicron #vaccination https://t.co/BWURrGF1tX"
254541171,2022-01-21 18:15:25+00:00,,1484590472538599425,1484590472538599425,en,1,0,1,2,Twitter Web App,#Austria approves Europe's first mandatory #COVID19 #vaccination mandate https://t.co/syYpNTmTUW
97673156,2022-01-21 18:03:00+00:00,,1484587348155371526,1484587348155371526,en,18,2,2,9,Buffer,"A restaurant in Red Deer, #Alberta, was ordered to partially shut down after the province’s health authority found that staff weren’t requiring proof of #Vaccination against #COVID19 or a negative test result. https://t.co/EeszAoLjon"
808380906255876097,2022-01-21 18:02:36+00:00,,1484587246871322631,1484587246871322631,en,0,0,0,0,Hootsuite Inc.,"As of now, vaccination certificates in Malta are now only valid for 3 months. 

Read more here via @schengeninfo 👇 

https://t.co/GQ7qNuQ4OV

#Malta #Vaccination #Covid19"
808310161748217857,2022-01-21 18:00:54+00:00,,1484586816623759365,1484586816623759365,en,0,0,0,0,Twitter Web App,"APARTMENT'S DIARY

Today I did the third dose of the vaccine... 💉🩹
#vaccination #covid19"
2319733603,2022-01-21 17:38:01+00:00,,1484581058888806410,1484581058888806410,en,0,0,0,0,Buffer,"#Employers will no longer have to comply with the Emergency Temporary Standard. How did we get here? Click here to find out: https://t.co/4s7sJDgpVg

#ETS #business #vaccination #cosmoins #covid19test #employees #humanresource #healthinsurance #health #covid19 #vaccinationmandate"
252794509,2022-01-21 17:32:27+00:00,,1484579657873641473,1484579657873641473,en,5,0,1,2,Twitter Web App,"Japan🇯🇵 is ramping up #COVID19 restrictions as #omicron cases surge. While many Japanese adults are fully vaccinated, few have gotten a booster shot.  https://t.co/LRWfDqARKZ via @AP @NPRhealth #vaccination #GlobalHealth"
252794509,2022-01-21 17:18:21+00:00,,1484576108972363778,1484576108972363778,en,9,1,1,3,Twitter Web App,"#Covid19 reinfection: how likely are you to catch virus multiple times? #Omicron may have affected risk, but other factors could include #vaccination and severity of previous infection, by @NicolaKSDavis  https://t.co/2q3cPErT6F via @guardian"
1506277170,2022-01-21 17:11:01+00:00,,1484574266678906882,1484574266678906882,en,2,0,0,1,Dynamic Signal,"Are you having difficulty tracking and verifying employee #COVID19 #vaccination status? Our verification system is easy for employees to use, #HIPAA compliant and quick to implement, via @Mercer_US. #healthcare https://t.co/aZ7rAMxd3u https://t.co/5NQfOn9bip"
50019165,2022-01-21 17:03:45+00:00,,1484572436800675851,1484572436800675851,en,9,3,1,4,Twitter Web App,"#rheumatology patients interested in the latest answers re: #COVID19 #vaccination #antiviral &amp; more? @IFAiArthritis attended the @ACRheum townhall meeting this week &amp; we're sharing our notes with you. 

https://t.co/UC1Uhzadtv https://t.co/GzmfTYJ9Bv"
898243293284372481,2022-01-21 16:53:47+00:00,3dec49be04d09fcb,1484569927394729989,1484569927394729989,en,0,0,0,0,Twitter for Android,"the vaccination pass voted in France. the rule of law and democracy live on a black Friday.
#France #COVID19 #vaccination @BBC https://t.co/8JSaRWpdDM"
895545034212114432,2022-01-21 16:47:02+00:00,,1484568228903161857,1484568228903161857,en,31,1,0,6,Twitter for Android,"List of Rural and Urban #COVID19 #Vaccination Centres in Ranchi for 22 January, 2022. Both the age groups of 15 to 18 and 18+ will be vaccinated at the Centres. 

@HemantSorenJMM 
@JharkhandCMO 
@BannaGupta76 
@prdjharkhand https://t.co/Y6vX0ov2tK"
1482411152042778631,2022-01-21 16:43:39+00:00,,1484567376637177860,1484567376637177860,en,0,0,0,0,Twitter Web App,"Such a shame, and more than likely - preventable. . .

#covid19 #vaccine #vaccination

https://t.co/CIBL4KZHYF"
2573188109,2022-01-21 16:36:28+00:00,,1484565569655525377,1484565569655525377,en,3,0,1,2,Twitter Web App,"#vaccination reduces the rate of severe cases and, consequently, deaths of #COVID19. This is robust scientific evidence in favor of #vaccines. Regardless of what motivated you to get vaccinated (feeling of empathy, act of love or whatever it be) ... https://t.co/6yVdzE2WBA"
989821,2022-01-21 16:30:45+00:00,,1484564133144006656,1484564133144006656,en,0,0,0,0,Twitter Web App,"TWiV 855: T time with #AlessandroSette //returns to #TWiV to discuss the observation that #SARSCoV2 #vaccination induces #Tcells that are able to cross-recognize #variants #Alpha to #Omicron.// #Covid19 
#video  https://t.co/9wFJoWKWXm https://t.co/jjMTG0NpFs"
252794509,2022-01-21 16:30:09+00:00,,1484563981368840197,1484563981368840197,en,4,0,0,4,Twitter Web App,What Should We Do About the #Unvaxxed? w/ @garymasonglobe @drlabos @rupasubramanya @Roman_Baber https://t.co/jLWaPbKR8m via @TheAgenda @spaikin #COVID19 #infodemic #vaccination
1222754999819616256,2022-01-21 16:30:00+00:00,,1484563942764539906,1484563942764539906,en,1,0,0,0,TweetDeck,"#Vaccination policies are stronger in high-income countries whereas low-income countries have weaker &amp; limited policies. The framework of #COVAX isn’t sufficient &amp; #IndoPacific can collaborate more closely to ensure vaccine equity, notes Ekta Jain #COVID19 https://t.co/SCU59j8GxQ"
17102947,2022-01-21 16:24:08+00:00,,1484562466080272384,1484562466080272384,en,2,0,0,0,Twitter for Advertisers.,".@kellyslater entered the Covid-19 debate and said he knows more about being healthy than 99 people of doctors. So, he opted not to get his Covid-19 jab.

#kellyslater #covid19 #coronavirus #vaccination #health #surf #surfing"
3032948190,2022-01-21 16:22:00+00:00,,1484561928689180678,1484561928689180678,en,5,0,2,0,Twitter Web App,Please vaccinate. I have no desire to learn the entire Greek alphabet...#Omicron #NCOC #Nonsense #COVID19 #vaccination  #VaccinesWork
252794509,2022-01-21 16:21:25+00:00,,1484561781531955203,1484561781531955203,en,62,1,13,31,Twitter Web App,"Booster shots of #Covid19 vaccines 90% effective at preventing those infected with #Omicron variant from ending up in the hospital, according to new U.S. CDC data, by @apoorva_nyc  https://t.co/FEn8NnEWxM via @nytimes #vaccination"
499174653,2022-01-21 16:20:10+00:00,,1484561466447564817,1484561466447564817,en,0,0,0,0,IFTTT,"3rd one done ✅ 
#covid19 #corona #vax #vaccine #vaccination #vaccinationdone✔️ #thirdvacctination #coronavacccine #done https://t.co/L0sqLPug1k"
