retweet_id,author_id,name_user,user_location
1484664491451113472,14254409,Raymond,Aki
1484662794028863488,17573273,Arthur Caplan,NY NY
1484662794028863488,1257284551,dijamo,"Ravenclaw, Horned Snake"
1484662794028863488,449714801,Greg MacFarlane,Canada
1484662794028863488,821643098,scooper@home,"Ontario, Canada"
1484662794028863488,226823350,Vanessa Maclean,
1484662794028863488,607763133,Hilary Wollis,"Kingston, Ontario"
1484662794028863488,1463396344555446276,whelmsville·4.2 ᵗ,stolen land
1484662794028863488,552038194,J Mark Walt,Planet Earth
1484662794028863488,21956112,Chad Crichton,"Toronto, Canada"
1484662794028863488,25059481,Susan Meredith,"Ontario, Canada"
1484662794028863488,164776078,Dave Whittle,Guelph
1484662794028863488,560903736,Dick Altavista,"Esquimalt, British Columbia"
1484662794028863488,33769035,Christine Clarke,
1484662794028863488,1040023858705850369,Laudieda,"Ontario, Canada"
1484662794028863488,952247125185720320,#StayHome,കേരളം
1484662794028863488,1349358194796195840,trafal1357,
1484662794028863488,16296908,Dr. Samantha Brennan,"Guelph, Ontario"
1484662794028863488,523351475,Vaccines save lives…,Vancouver Canada
1484662794028863488,2558166399,Rev Barb,"Saskatchewan, Canada"
1484662794028863488,17632421,lisbethlippertYoga,"Waterloo, Ontario Canada"
1484662794028863488,228289402,Greg,"Burnaby, BC"
1484662794028863488,836522117852168192,KC🎶💚💚,Wisconsin The Frozen Tundra
1484662794028863488,131551901,SK8 Wireless,Canada
1484662794028863488,1429659670113886208,"Masked, TRIPLE Vaxxed and Flu Vaxxed😷🐭♎🇨🇦💉",NOYB
1484662794028863488,1043280707467051008,☝️SoSayU,"North Carolina, USA"
1484662794028863488,1294818776777543680,loulund 🇨🇦,Alberta
1484662794028863488,3241083249,"Sevtap Savas, PhD",St. John's
1484662794028863488,1140800912,Andy Holt,
1484662794028863488,16590905,Ben of the Dead,Toronto
1484660283415175170,972191696,Mr. Văn,"Hà Nội, Việt Nam"
1484660283415175170,3354387957,ahmed ghenim,
1484660283415175170,1192963070366085120,dpmaldita49,
1484660283415175170,1225357901604233218,"Arief Wijaya, MSc MPh",Rotterdam
1484660283415175170,1139523989993328640,Dr. Andrea Adler (She/Her) 🔬🧬," Berne, Suisse"
